Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
Diese Art von Vertrag beinhaltet, dass der Kunde einen Teil des durch den Schaden entstandenen Betrags selbst bezahlen muss.	This class of agreement would suppose that the client cover a part of the costs in case of mishaps.	This type of contract means that the customer will have to pay part of the amount of the damage.
Der Betrag wird vor Abschluss des Vertrags und anhand der Höhe der Versicherungsprämie festgelegt. Diese ist höher je geringer die zu bezahlende Summe, erklärt Luis Noguera, Hauptvertreter Spaniens bei First Europa, einem Vermittlungsunternehmen für Online-Versicherungen.	"The amount of the costs that contributes the client will be settled based on the value of the premium, that will be higher if this amount is lowered", specifies Luis Noguera, head of First Europe in Spain, mediator of online insurances.	The amount is fixed before the contract is concluded and according to the level of the insurance premium, which is higher than the amount paid, explains Luis Noguera, Spain's main representative at First Europe, a company that provides online insurance.
Eine andere Option ist die erweiterte Versicherung, die den Kunden gegen externe Unfallschäden versichert, nicht jedoch gegen die am eigenen Auto entstandenen Beschädigungen.	Another option is an extended third party insurance, so that the client is assured protection from damages caused to third parties, although not to those caused to his own car.	Another option is the extended insurance scheme, which will provide customers with insurance against external accident damage, but not against the damage caused to their own car.
Außerdem würde diese Art der Versicherung Diebstahl, Brand und Fahrzeugverlust abdecken.	In addition, it would be covered for robbery, fire and the loss of the vehicle.	In addition, this type of insurance would cover theft, fire and car losses.
Hier ein Rat.	An advice.	Here is a Council.
Wenn du unter 25 Jahre alt bist, liegt es in deiner Hand, die Versicherungskosten zu senken; so erhöht sich deine Gutschrift, indem du versuchst, vorsichtig zu fahren und Unfälle zu vermeiden.	If you are younger than 25 years try to be careful and avoid accidents as far as possible, since this will be an advantage, being able to reduce the cost of the insurance in the future.	When you are under 25, it is in your hands to reduce insurance costs; that is how your credentials are increased by trying to be careful and to avoid accidents.
Eine Gutschrift ist eine Senkung des Basistarifs bei der entsprechenden Versicherungsgesellschaft.	An advantage is a reduction on the basic tariff of the company.	A credit is given to reducing the base tariff in the insurance company concerned.
Im Gegenteil dazu beinhaltet eine Strafzahlung eine Anhebung besagten Tarifs.	On the contrary, a penalty is a surcharge on this base tariff.	On the contrary, a fine payment involves an increase in the tariff in question.
Die Höhe Gutschriften und Strafzahlungen hängen von der Gesellschaft und deren Erträge ab.	"Advantages and penalties will depend on the company and its benefits.	The amount of credits and fines paid depends on society and on its income.
Wenn das Unternehmen ein ertragsreiches Jahr hinter sich hat, kann es sich erlauben, die Bonus-Zahlungen zu erhöhen, erläutert Noguera.	If the company has had a good year it will be able to increase the advantages ", clarifies Noguera.	If the company has a profitable year behind it, it can allow itself to increase the bonus payments, explain Noguera.
Sobald die 25-Jahre-Marke überschritten wird, ist es für die Fahrer einfacher einen Vertrag abzuschließen. Grund hierfür ist die Tatsache, dass mit zunehmender Fahrpraxis die Unfallquote sinkt.	Once over 25 years of age drivers have an easier time of contracting an insurance, since the accident index is reduced thanks to the accumulated experience.	Once the 25th anniversary mark has been exceeded, it will be easier for drivers to conclude a contract, because, with increasing driving practice, the number of accidents will fall.
Somit ist es am sinnvollsten, sich für eine Vollkaskoversicherung mit Selbstbeteiligung zu entscheiden.	For this reason the most recommendable is to contract a fully comprehensive with tax exemption.	The best way to go about this is to opt for full insurance with self-participation.
Normalerweise können die Jugendlichen keinen Nutzen aus ihrer bisherigen Erfahrung ziehen, sowohl im Falle eines Unfalls als auch zum Zeitpunkt des Fahrens nicht, erläutert der spanischer Vorsteher des europäischen Unternehmens, und fügt hinzu, dass die Mehrzahl der Unfälle sich im zweiten Praxisjahr ereignen, nachdem die Angst des Anfängers abgelegt wurde.	"Normally young people cannot take advantage of the experience previously acquired at the time of an accident, or even when driving", assures the director in Spain of the European company, to which adds that most of the accidents take place in the second year of driving, once the "fear of the novice" passes.	Young people are not normally able to benefit from their past experience, both in the event of an accident and at the time of their journey, explained by the Spanish head of the European company, and added that the majority of accidents occur during the second year of operation, after the anchor fear of the anchor has been reduced.
Dennoch ist es bei einem verheirateten Kunden, der keine Kinder besitzt, ratsamer, eine Vollkaskoversicherung abzuschließen; natürlich nur dann, wenn es die finanzielle Situation der entsprechenden Person auch zulässt.	Nevertheless, if the client is married but still doesn't have children it is better to negotiate an comprehensive insurance, as long as his economic situation allows it, clearly.	However, it is more sensible for a married customer who does not have children to have full insurance; of course, only if it allows the financial situation of the person concerned.
Seitens der Versicherer gelten Ehepaare mit Kindern als die Kunden mit der geringsten Unfallquote, und dementsprechend niedrig fallen auch ihre Beitragszahlungen aus.	On the other hand, people married with children are considered by the insurers as the public with accident rate, reason why the premiums will be smaller.	Insurers consider couples with children to be the least accident customers, and their contributions are accordingly low.
In diesem Fall wäre eine Vollkaskoversicherung mit Selbstbeteiligung (bei einem Betrag um die 300 Euro) die beste Option. Im Fall dass man eine hohe Gutschrift erhalten hat, empfiehlt sich eine erweiterte Versicherung, die erst zum dritten Fahrzeugjahr einsetzt.	In this case the best one is a fully comprehensive insurance with tax exemption (this being of 300 euros), or, when it is had, a high benefit level, a third-party extended as the third life's year of the vehicle.	In this case, full insurance with self-participation (for EUR 300) would be the best option, and in the event of a high certificate being obtained, it is recommended that insurance be extended to cover the third year of the vehicle.
Sie fahren insgesamt entspannter und besitzen eine größere Kaufkraft, die es ihnen erlaubt, eine höhere Beitragszahlung anzusetzen, stellt Luis Noguera fest.	"They make a more relaxed driver and have a greater spending power to allow the luxury to assume an amount of greater tax exemption", states Luis Noguera.	On the whole, they relax and have greater purchasing power, allowing them to make a higher contribution, Luis Noguera notes.
